,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,Division
16,2016,Nebraska,USA,1869365,8.75,33.76,726,52997,133200,27,80.76,4.59,9.96,0.71,2.02,0.06,1.82,0.09,258410,7325,5615,2.17,2.83,0,0,0,State
0,2000,California,USA,33871648,14.22,43.09,747,47493,211500,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,4158366,107580,103602,2.49,2.59,1,0,0,State
1,2001,California,USA,33871648,14.22,43.09,747,47493,211500,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,4338669,111701,98215,2.26,2.57,1,0,0,State
2,2002,California,USA,33871648,14.22,43.09,747,47493,211500,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,4350862,112488,88314,2.03,2.59,1,0,0,State
3,2003,California,USA,33871648,14.22,43.09,747,47493,211500,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,4317631,109924,81011,1.88,2.55,1,0,0,State
4,2004,California,USA,33871648,14.22,43.09,747,47493,211500,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,4278358,90549,76581,1.79,2.12,1,0,0,State
5,2005,California,USA,36308527,9.84,42.06,1116,60392,479200,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,4306446,81462,71664,1.66,1.89,1,0,0,State
6,2006,California,USA,36308527,9.84,42.06,1116,60392,479200,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,4659859,86633,77341,1.66,1.86,1,0,0,State
7,2007,California,USA,36308527,9.84,42.06,1116,60392,479200,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,4813299,95679,84931,1.76,1.99,1,0,0,State
8,2008,California,USA,36308527,9.84,42.06,1116,60392,479200,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,4864402,122203,103031,2.12,2.51,1,0,0,State
9,2009,California,USA,36308527,9.84,42.06,1116,60392,479200,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,5006871,117241,100511,2.01,2.34,1,0,0,State
10,2010,California,USA,37253956,11.47,44.06,1209,61400,383900,33.5,40.15,5.81,37.62,0.44,12.82,0.35,2.6,0.23,4980453,110779,96363,1.93,2.22,1,0,0,State
11,2011,California,USA,38421464,12.18,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,4488791,82173,71103,1.58,1.83,1,0,0,State
12,2012,California,USA,38421464,12.18,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,4519903,73144,63284,1.4,1.62,1,0,0,State
13,2013,California,USA,38421464,12.18,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,4569754,68656,58970,1.29,1.5,1,0,0,State
14,2014,California,USA,38421464,12.18,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,4915846,65454,55626,1.13,1.33,1,0,0,State
15,2015,California,USA,38421464,12.18,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,4838246,51875,44294,0.92,1.07,1,0,0,State
16,2016,California,USA,38421464,12.18,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,4947085,47079,41178,0.83,0.95,1,0,0,State
0,2000,New Hampshire,USA,1235786,6.55,30.32,646,49467,133300,24.2,95.1,0.68,1.66,0.22,1.28,0.03,0.94,0.1,143906,,,,,1,0,0,State
1,2001,New Hampshire,USA,1235786,6.55,30.32,646,49467,133300,24.2,95.1,0.68,1.66,0.22,1.28,0.03,0.94,0.1,144581,,,,,1,0,0,State
2,2002,New Hampshire,USA,1235786,6.55,30.32,646,49467,133300,24.2,95.1,0.68,1.66,0.22,1.28,0.03,0.94,0.1,145256,,,,,1,0,0,State
3,2003,New Hampshire,USA,1235786,6.55,30.32,646,49467,133300,24.2,95.1,0.68,1.66,0.22,1.28,0.03,0.94,0.1,145931,,,,,1,0,0,State
4,2004,New Hampshire,USA,1235786,6.55,30.32,646,49467,133300,24.2,95.1,0.68,1.66,0.22,1.28,0.03,0.94,0.1,51030,841,614,1.2,1.65,1,0,0,State
5,2005,New Hampshire,USA,1315419,5.03,26.99,922,63033,253000,28.8,93.07,1.03,2.57,0.21,1.89,0.02,1.08,0.13,113044,2367,1830,1.62,2.09,1,0,0,State
6,2006,New Hampshire,USA,1315419,5.03,26.99,922,63033,253000,28.8,93.07,1.03,2.57,0.21,1.89,0.02,1.08,0.13,139223,4260,3477,2.5,3.06,1,0,0,State
7,2007,New Hampshire,USA,1315419,5.03,26.99,922,63033,253000,28.8,93.07,1.03,2.57,0.21,1.89,0.02,1.08,0.13,139818,4340,3662,2.62,3.1,1,0,0,State
8,2008,New Hampshire,USA,1315419,5.03,26.99,922,63033,253000,28.8,93.07,1.03,2.57,0.21,1.89,0.02,1.08,0.13,140412,4948,4235,3.02,3.52,1,0,0,State
9,2009,New Hampshire,USA,1315419,5.03,26.99,922,63033,253000,28.8,93.07,1.03,2.57,0.21,1.89,0.02,1.08,0.13,141008,3715,3206,2.27,2.63,1,0,0,State
10,2010,New Hampshire,USA,1316470,5.56,29.03,972,64925,245600,29.7,92.3,1.03,2.79,0.2,2.15,0.02,1.37,0.14,90086,1890,1699,1.89,2.1,1,0,0,State
11,2011,New Hampshire,USA,1324201,5.62,29.04,1000,66779,237300,29.5,91.4,1.17,3.18,0.14,2.35,0.02,1.61,0.12,75150,1449,1305,1.74,1.93,1,0,0,State
12,2012,New Hampshire,USA,1324201,5.62,29.04,1000,66779,237300,29.5,91.4,1.17,3.18,0.14,2.35,0.02,1.61,0.12,76660,1262,1033,1.35,1.65,1,0,0,State
13,2013,New Hampshire,USA,1324201,5.62,29.04,1000,66779,237300,29.5,91.4,1.17,3.18,0.14,2.35,0.02,1.61,0.12,78171,1703,1503,1.92,2.18,1,0,0,State
14,2014,New Hampshire,USA,1324201,5.62,29.04,1000,66779,237300,29.5,91.4,1.17,3.18,0.14,2.35,0.02,1.61,0.12,67740,1536,1471,2.17,2.27,1,0,0,State
15,2015,New Hampshire,USA,1324201,5.62,29.04,1000,66779,237300,29.5,91.4,1.17,3.18,0.14,2.35,0.02,1.61,0.12,9290,169,167,1.8,1.82,1,0,0,State
16,2016,New Hampshire,USA,1324201,5.62,29.04,1000,66779,237300,29.5,91.4,1.17,3.18,0.14,2.35,0.02,1.61,0.12,9451,166,161,1.7,1.76,1,0,0,State
0,2000,New Jersey,USA,8414350,8.5,34.37,751,55146,170800,25.5,66.04,13.03,13.28,0.13,5.67,0.03,1.59,0.23,1053172,,,,,1,0,0,State
1,2001,New Jersey,USA,8414350,8.5,34.37,751,55146,170800,25.5,66.04,13.03,13.28,0.13,5.67,0.03,1.59,0.23,1059045,128292,24377,2.3,12.11,1,0,0,State
2,2002,New Jersey,USA,8414350,8.5,34.37,751,55146,170800,25.5,66.04,13.03,13.28,0.13,5.67,0.03,1.59,0.23,1064917,116832,22667,2.13,10.97,1,0,0,State
3,2003,New Jersey,USA,8414350,8.5,34.37,751,55146,170800,25.5,66.04,13.03,13.28,0.13,5.67,0.03,1.59,0.23,1053497,121021,22607,2.15,11.49,1,0,0,State
4,2004,New Jersey,USA,8414350,8.5,34.37,751,55146,170800,25.5,66.04,13.03,13.28,0.13,5.67,0.03,1.59,0.23,1059312,127243,4667,0.44,12.01,1,0,0,State
5,2005,New Jersey,USA,8650548,6.51,32.86,1059,68981,356800,30.4,62.02,13.04,15.9,0.12,7.37,0.02,1.11,0.41,1065128,133404,298,0.03,12.52,1,0,0,State
6,2006,New Jersey,USA,8650548,6.51,32.86,1059,68981,356800,30.4,62.02,13.04,15.9,0.12,7.37,0.02,1.11,0.41,1088406,235287,10140,0.93,21.62,1,0,0,State
7,2007,New Jersey,USA,8650548,6.51,32.86,1059,68981,356800,30.4,62.02,13.04,15.9,0.12,7.37,0.02,1.11,0.41,1094279,149684,21565,1.97,13.68,1,0,0,State
8,2008,New Jersey,USA,8650548,6.51,32.86,1059,68981,356800,30.4,62.02,13.04,15.9,0.12,7.37,0.02,1.11,0.41,1100150,155534,21079,1.92,14.14,1,0,0,State
9,2009,New Jersey,USA,8650548,6.51,32.86,1059,68981,356800,30.4,62.02,13.04,15.9,0.12,7.37,0.02,1.11,0.41,1106024,143821,21439,1.94,13,1,0,0,State
10,2010,New Jersey,USA,8791894,7.42,34.59,1154,71637,337900,31.8,59.31,12.8,17.69,0.14,8.19,0.02,1.53,0.31,1111895,157412,13355,1.2,14.16,1,0,0,State
11,2011,New Jersey,USA,8904413,8.16,35.53,1192,72093,315900,32.1,57.2,12.72,18.96,0.11,8.98,0.02,1.57,0.44,1130837,162089,13633,1.21,14.33,1,0,0,State
12,2012,New Jersey,USA,8904413,8.16,35.53,1192,72093,315900,32.1,57.2,12.72,18.96,0.11,8.98,0.02,1.57,0.44,1149772,158237,13372,1.16,13.76,1,0,0,State
13,2013,New Jersey,USA,8904413,8.16,35.53,1192,72093,315900,32.1,57.2,12.72,18.96,0.11,8.98,0.02,1.57,0.44,1168711,163021,13684,1.17,13.95,1,0,0,State
14,2014,New Jersey,USA,8904413,8.16,35.53,1192,72093,315900,32.1,57.2,12.72,18.96,0.11,8.98,0.02,1.57,0.44,1187648,161078,13059,1.1,13.56,1,0,0,State
15,2015,New Jersey,USA,8904413,8.16,35.53,1192,72093,315900,32.1,57.2,12.72,18.96,0.11,8.98,0.02,1.57,0.44,1206587,156107,2107,0.17,12.94,1,0,0,State
16,2016,New Jersey,USA,8904413,8.16,35.53,1192,72093,315900,32.1,57.2,12.72,18.96,0.11,8.98,0.02,1.57,0.44,1225526,147671,136,0.01,12.05,1,0,0,State
0,2000,New Mexico,USA,1819046,18.44,30.02,503,34133,108100,26.6,44.72,1.69,42.08,8.88,1,0.05,1.42,0.17,167892,13569,8268,4.92,8.08,0,0,0,State
1,2001,New Mexico,USA,1819046,18.44,30.02,503,34133,108100,26.6,44.72,1.69,42.08,8.88,1,0.05,1.42,0.17,196904,15033,9784,4.97,7.63,0,0,0,State
2,2002,New Mexico,USA,1819046,18.44,30.02,503,34133,108100,26.6,44.72,1.69,42.08,8.88,1,0.05,1.42,0.17,212675,12504,8334,3.92,5.88,0,0,0,State
3,2003,New Mexico,USA,1819046,18.44,30.02,503,34133,108100,26.6,44.72,1.69,42.08,8.88,1,0.05,1.42,0.17,213048,11706,8073,3.79,5.49,0,0,0,State
4,2004,New Mexico,USA,1819046,18.44,30.02,503,34133,108100,26.6,44.72,1.69,42.08,8.88,1,0.05,1.42,0.17,206994,12101,7490,3.62,5.85,0,0,0,State
5,2005,New Mexico,USA,1964860,13.73,30.4,659,42742,150500,29.1,41.58,1.99,44.76,8.75,1.28,0.04,1.38,0.22,211095,13235,8395,3.98,6.27,0,0,0,State
6,2006,New Mexico,USA,1964860,13.73,30.4,659,42742,150500,29.1,41.58,1.99,44.76,8.75,1.28,0.04,1.38,0.22,189896,13870,8591,4.52,7.3,0,0,0,State
7,2007,New Mexico,USA,1964860,13.73,30.4,659,42742,150500,29.1,41.58,1.99,44.76,8.75,1.28,0.04,1.38,0.22,193681,14933,8895,4.59,7.71,0,0,0,State
8,2008,New Mexico,USA,1964860,13.73,30.4,659,42742,150500,29.1,41.58,1.99,44.76,8.75,1.28,0.04,1.38,0.22,197465,14372,8200,4.15,7.28,0,0,0,State
9,2009,New Mexico,USA,1964860,13.73,30.4,659,42742,150500,29.1,41.58,1.99,44.76,8.75,1.28,0.04,1.38,0.22,195981,13475,8343,4.26,6.88,0,0,0,State
10,2010,New Mexico,USA,2059179,14.88,31.5,736,44886,161500,29.8,40.49,1.72,46.3,8.52,1.28,0.06,1.45,0.18,194312,13502,7872,4.05,6.95,0,0,0,State
11,2011,New Mexico,USA,2084117,15.94,31.94,777,44963,160300,30.7,39.2,1.83,47.36,8.51,1.31,0.04,1.58,0.18,188724,13470,7256,3.84,7.14,0,0,0,State
12,2012,New Mexico,USA,2084117,15.94,31.94,777,44963,160300,30.7,39.2,1.83,47.36,8.51,1.31,0.04,1.58,0.18,191876,13762,7587,3.95,7.17,0,0,0,State
13,2013,New Mexico,USA,2084117,15.94,31.94,777,44963,160300,30.7,39.2,1.83,47.36,8.51,1.31,0.04,1.58,0.18,195029,14524,7897,4.05,7.45,0,0,0,State
14,2014,New Mexico,USA,2084117,15.94,31.94,777,44963,160300,30.7,39.2,1.83,47.36,8.51,1.31,0.04,1.58,0.18,161213,11719,6114,3.79,7.27,0,0,0,State
15,2015,New Mexico,USA,2084117,15.94,31.94,777,44963,160300,30.7,39.2,1.83,47.36,8.51,1.31,0.04,1.58,0.18,154218,8822,5826,3.78,5.72,0,0,0,State
16,2016,New Mexico,USA,2084117,15.94,31.94,777,44963,160300,30.7,39.2,1.83,47.36,8.51,1.31,0.04,1.58,0.18,188623,7984,6006,3.18,4.23,0,0,0,State
0,2000,Nevada,USA,1998257,10.48,39.13,699,44581,142000,26.5,65.21,6.58,19.72,1.07,4.43,0.39,2.46,0.14,229536,19991,16649,7.25,8.71,0,0,0,State
1,2001,Nevada,USA,1998257,10.48,39.13,699,44581,142000,26.5,65.21,6.58,19.72,1.07,4.43,0.39,2.46,0.14,298278,31721,20069,6.73,10.63,0,0,0,State
2,2002,Nevada,USA,1998257,10.48,39.13,699,44581,142000,26.5,65.21,6.58,19.72,1.07,4.43,0.39,2.46,0.14,297427,29690,19411,6.53,9.98,0,0,0,State
3,2003,Nevada,USA,1998257,10.48,39.13,699,44581,142000,26.5,65.21,6.58,19.72,1.07,4.43,0.39,2.46,0.14,250958,21379,17845,7.11,8.52,0,0,0,State
4,2004,Nevada,USA,1998257,10.48,39.13,699,44581,142000,26.5,65.21,6.58,19.72,1.07,4.43,0.39,2.46,0.14,265134,21864,18261,6.89,8.25,0,0,0,State
5,2005,Nevada,USA,2545763,8,39.28,989,55585,275300,30.1,57.44,7.21,25.2,1.03,6.09,0.46,2.36,0.21,273079,24165,19927,7.3,8.85,0,0,0,State
6,2006,Nevada,USA,2545763,8,39.28,989,55585,275300,30.1,57.44,7.21,25.2,1.03,6.09,0.46,2.36,0.21,278009,25263,20522,7.38,9.09,0,0,0,State
7,2007,Nevada,USA,2545763,8,39.28,989,55585,275300,30.1,57.44,7.21,25.2,1.03,6.09,0.46,2.36,0.21,293221,24052,19263,6.57,8.2,0,0,0,State
8,2008,Nevada,USA,2545763,8,39.28,989,55585,275300,30.1,57.44,7.21,25.2,1.03,6.09,0.46,2.36,0.21,303425,22450,17746,5.85,7.4,0,0,0,State
9,2009,Nevada,USA,2545763,8,39.28,989,55585,275300,30.1,57.44,7.21,25.2,1.03,6.09,0.46,2.36,0.21,324328,19746,15940,4.91,6.09,0,0,0,State
10,2010,Nevada,USA,2700551,10.56,41.22,1001,54083,190900,31,54.14,7.7,26.53,0.87,7.07,0.57,2.93,0.18,347005,21652,16279,4.69,6.24,0,0,0,State
11,2011,Nevada,USA,2798636,11.39,44.94,973,51847,173700,30.1,52,8.07,27.53,0.88,7.55,0.61,3.21,0.16,356141,22920,17681,4.96,6.44,0,0,0,State
12,2012,Nevada,USA,2798636,11.39,44.94,973,51847,173700,30.1,52,8.07,27.53,0.88,7.55,0.61,3.21,0.16,365281,30627,23101,6.32,8.38,0,0,0,State
13,2013,Nevada,USA,2798636,11.39,44.94,973,51847,173700,30.1,52,8.07,27.53,0.88,7.55,0.61,3.21,0.16,374418,33757,23112,6.17,9.02,0,0,0,State
14,2014,Nevada,USA,2798636,11.39,44.94,973,51847,173700,30.1,52,8.07,27.53,0.88,7.55,0.61,3.21,0.16,383553,32490,17235,4.49,8.47,0,0,0,State
15,2015,Nevada,USA,2798636,11.39,44.94,973,51847,173700,30.1,52,8.07,27.53,0.88,7.55,0.61,3.21,0.16,385910,32736,17148,4.44,8.48,0,0,0,State
16,2016,Nevada,USA,2798636,11.39,44.94,973,51847,173700,30.1,52,8.07,27.53,0.88,7.55,0.61,3.21,0.16,394807,24319,13478,3.41,6.16,0,0,0,State
0,2000,New York,USA,18976457,14.59,47.01,672,43393,148700,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2396624,334158,48046,2,13.94,1,0,0,State
1,2001,New York,USA,18976457,14.59,47.01,672,43393,148700,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2401640,325925,45465,1.89,13.57,1,0,0,State
2,2002,New York,USA,18976457,14.59,47.01,672,43393,148700,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2406663,376171,45359,1.88,15.63,1,0,0,State
3,2003,New York,USA,18976457,14.59,47.01,672,43393,148700,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2381569,354419,44505,1.87,14.88,1,0,0,State
4,2004,New York,USA,18976457,14.59,47.01,672,43393,148700,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2394566,304644,44119,1.84,12.72,1,0,0,State
5,2005,New York,USA,19423896,10.48,44.27,945,55233,300600,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,2426736,303491,48351,1.99,12.51,1,0,0,State
6,2006,New York,USA,19423896,10.48,44.27,945,55233,300600,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,2451090,296357,66080,2.7,12.09,1,0,0,State
7,2007,New York,USA,19423896,10.48,44.27,945,55233,300600,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,925699,50327,13866,1.5,5.44,1,0,0,State
8,2008,New York,USA,19423896,10.48,44.27,945,55233,300600,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,929388,51281,19162,2.06,5.52,1,0,0,State
9,2009,New York,USA,19423896,10.48,44.27,945,55233,300600,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,933079,52340,13576,1.45,5.61,1,0,0,State
10,2010,New York,USA,19378102,11.38,46.73,1061,57683,295300,31.6,58.34,14.37,17.63,0.28,7.26,0.03,1.68,0.42,948335,54068,12358,1.3,5.7,1,0,0,State
11,2011,New York,USA,19673174,11.98,46.37,1132,59269,283400,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1052214,46083,1405,0.13,4.38,1,0,0,State
12,2012,New York,USA,19673174,11.98,46.37,1132,59269,283400,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1069348,37144,6171,0.58,3.47,1,0,0,State
13,2013,New York,USA,19673174,11.98,46.37,1132,59269,283400,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1216345,36428,5892,0.48,2.99,1,0,0,State
14,2014,New York,USA,19673174,11.98,46.37,1132,59269,283400,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1278217,39272,10161,0.79,3.07,1,0,0,State
15,2015,New York,USA,19673174,11.98,46.37,1132,59269,283400,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1290249,36660,9145,0.71,2.84,1,0,0,State
16,2016,New York,USA,19673174,11.98,46.37,1132,59269,283400,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1770577,126657,38055,2.15,7.15,1,0,0,State
0,2000,Ohio,USA,11353140,10.6,30.89,515,40956,103700,24.2,84.01,11.37,1.91,0.19,1.16,0.02,1.21,0.12,423956,11895,9038,2.13,2.81,0,0,0,State
1,2001,Ohio,USA,11353140,10.6,30.89,515,40956,103700,24.2,84.01,11.37,1.91,0.19,1.16,0.02,1.21,0.12,865265,41242,24160,2.79,4.77,0,0,0,State
2,2002,Ohio,USA,11353140,10.6,30.89,515,40956,103700,24.2,84.01,11.37,1.91,0.19,1.16,0.02,1.21,0.12,1381608,94445,49592,3.59,6.84,0,0,0,State
3,2003,Ohio,USA,11353140,10.6,30.89,515,40956,103700,24.2,84.01,11.37,1.91,0.19,1.16,0.02,1.21,0.12,1389935,93962,50438,3.63,6.76,0,0,0,State
4,2004,Ohio,USA,11353140,10.6,30.89,515,40956,103700,24.2,84.01,11.37,1.91,0.19,1.16,0.02,1.21,0.12,1395255,103444,53597,3.84,7.41,0,0,0,State
5,2005,Ohio,USA,11511858,10,30.51,665,47144,134500,29.4,82.5,11.61,2.62,0.16,1.5,0.02,1.46,0.14,1406910,109498,53751,3.82,7.78,0,0,0,State
6,2006,Ohio,USA,11511858,10,30.51,665,47144,134500,29.4,82.5,11.61,2.62,0.16,1.5,0.02,1.46,0.14,1429845,110382,53251,3.72,7.72,0,0,0,State
7,2007,Ohio,USA,11511858,10,30.51,665,47144,134500,29.4,82.5,11.61,2.62,0.16,1.5,0.02,1.46,0.14,1444705,109896,51214,3.54,7.61,0,0,0,State
8,2008,Ohio,USA,11511858,10,30.51,665,47144,134500,29.4,82.5,11.61,2.62,0.16,1.5,0.02,1.46,0.14,1459919,109874,57551,3.94,7.53,0,0,0,State
9,2009,Ohio,USA,11511858,10,30.51,665,47144,134500,29.4,82.5,11.61,2.62,0.16,1.5,0.02,1.46,0.14,1471687,105942,52741,3.58,7.2,0,0,0,State
10,2010,Ohio,USA,11536504,11.21,32.42,710,48246,133700,30.2,81.13,12.04,3.07,0.18,1.65,0.03,1.76,0.13,1486926,105885,53388,3.59,7.12,0,0,0,State
11,2011,Ohio,USA,11575977,11.54,33.69,730,49429,129900,29.5,80.26,12.04,3.38,0.15,1.85,0.02,2.18,0.12,1519789,111712,61094,4.02,7.35,0,0,0,State
12,2012,Ohio,USA,11575977,11.54,33.69,730,49429,129900,29.5,80.26,12.04,3.38,0.15,1.85,0.02,2.18,0.12,1548499,109602,60566,3.91,7.08,0,0,0,State
13,2013,Ohio,USA,11575977,11.54,33.69,730,49429,129900,29.5,80.26,12.04,3.38,0.15,1.85,0.02,2.18,0.12,1577211,109340,60420,3.83,6.93,0,0,0,State
14,2014,Ohio,USA,11575977,11.54,33.69,730,49429,129900,29.5,80.26,12.04,3.38,0.15,1.85,0.02,2.18,0.12,1605920,97706,54519,3.39,6.08,0,0,0,State
15,2015,Ohio,USA,11575977,11.54,33.69,730,49429,129900,29.5,80.26,12.04,3.38,0.15,1.85,0.02,2.18,0.12,1634631,105069,58058,3.55,6.43,0,0,0,State
16,2016,Ohio,USA,11575977,11.54,33.69,730,49429,129900,29.5,80.26,12.04,3.38,0.15,1.85,0.02,2.18,0.12,1663340,103027,57980,3.49,6.19,0,0,0,State
0,2000,Oklahoma,USA,3450654,14.72,31.59,456,33400,70700,24.3,74.08,7.48,5.2,7.71,1.34,0.06,4.06,0.07,243304,7196,5662,2.33,2.96,0,0,0,State
1,2001,Oklahoma,USA,3450654,14.72,31.59,456,33400,70700,24.3,74.08,7.48,5.2,7.71,1.34,0.06,4.06,0.07,404990,21767,14592,3.6,5.37,0,0,0,State
2,2002,Oklahoma,USA,3450654,14.72,31.59,456,33400,70700,24.3,74.08,7.48,5.2,7.71,1.34,0.06,4.06,0.07,421661,24011,16652,3.95,5.69,0,0,0,State
3,2003,Oklahoma,USA,3450654,14.72,31.59,456,33400,70700,24.3,74.08,7.48,5.2,7.71,1.34,0.06,4.06,0.07,427030,24912,17567,4.11,5.83,0,0,0,State
4,2004,Oklahoma,USA,3450654,14.72,31.59,456,33400,70700,24.3,74.08,7.48,5.2,7.71,1.34,0.06,4.06,0.07,436346,27190,19095,4.38,6.23,0,0,0,State
5,2005,Oklahoma,USA,3610073,12.18,32.08,614,41861,98800,28.2,71.52,7.24,7.55,6.36,1.57,0.09,5.57,0.1,441785,29562,20215,4.58,6.69,0,0,0,State
6,2006,Oklahoma,USA,3610073,12.18,32.08,614,41861,98800,28.2,71.52,7.24,7.55,6.36,1.57,0.09,5.57,0.1,451290,32006,21213,4.7,7.09,0,0,0,State
7,2007,Oklahoma,USA,3610073,12.18,32.08,614,41861,98800,28.2,71.52,7.24,7.55,6.36,1.57,0.09,5.57,0.1,450852,30114,19406,4.3,6.68,0,0,0,State
8,2008,Oklahoma,USA,3610073,12.18,32.08,614,41861,98800,28.2,71.52,7.24,7.55,6.36,1.57,0.09,5.57,0.1,456197,28452,19605,4.3,6.24,0,0,0,State
9,2009,Oklahoma,USA,3610073,12.18,32.08,614,41861,98800,28.2,71.52,7.24,7.55,6.36,1.57,0.09,5.57,0.1,461543,26199,17031,3.69,5.68,0,0,0,State
10,2010,Oklahoma,USA,3751351,12.26,32.78,679,44891,110800,28.7,68.65,7.25,8.85,8.23,1.71,0.11,5.12,0.08,472946,30261,17353,3.67,6.4,0,0,0,State
11,2011,Oklahoma,USA,3849733,12.43,33.94,727,46879,117900,28.3,67.31,7.12,9.65,6.95,1.91,0.12,6.87,0.08,479956,31575,18002,3.75,6.58,0,0,0,State
12,2012,Oklahoma,USA,3849733,12.43,33.94,727,46879,117900,28.3,67.31,7.12,9.65,6.95,1.91,0.12,6.87,0.08,486968,28832,13612,2.8,5.92,0,0,0,State
13,2013,Oklahoma,USA,3849733,12.43,33.94,727,46879,117900,28.3,67.31,7.12,9.65,6.95,1.91,0.12,6.87,0.08,493979,32510,17541,3.55,6.58,0,0,0,State
14,2014,Oklahoma,USA,3849733,12.43,33.94,727,46879,117900,28.3,67.31,7.12,9.65,6.95,1.91,0.12,6.87,0.08,500991,39653,19399,3.87,7.91,0,0,0,State
15,2015,Oklahoma,USA,3849733,12.43,33.94,727,46879,117900,28.3,67.31,7.12,9.65,6.95,1.91,0.12,6.87,0.08,508002,44119,21109,4.16,8.68,0,0,0,State
16,2016,Oklahoma,USA,3849733,12.43,33.94,727,46879,117900,28.3,67.31,7.12,9.65,6.95,1.91,0.12,6.87,0.08,515013,42251,21814,4.24,8.2,0,0,0,State
0,2000,Oregon,USA,3421399,11.61,35.75,620,40916,152100,26.9,83.52,1.56,8.05,1.17,2.93,0.22,2.42,0.13,371537,20480,9460,2.55,5.51,0,0,0,State
1,2001,Oregon,USA,3421399,11.61,35.75,620,40916,152100,26.9,83.52,1.56,8.05,1.17,2.93,0.22,2.42,0.13,477036,21897,11511,2.41,4.59,0,0,0,State
2,2002,Oregon,USA,3421399,11.61,35.75,620,40916,152100,26.9,83.52,1.56,8.05,1.17,2.93,0.22,2.42,0.13,496308,23759,12209,2.46,4.79,0,0,0,State
3,2003,Oregon,USA,3421399,11.61,35.75,620,40916,152100,26.9,83.52,1.56,8.05,1.17,2.93,0.22,2.42,0.13,506076,23296,12945,2.56,4.6,0,0,0,State
4,2004,Oregon,USA,3421399,11.61,35.75,620,40916,152100,26.9,83.52,1.56,8.05,1.17,2.93,0.22,2.42,0.13,515844,25219,13728,2.66,4.89,0,0,0,State
5,2005,Oregon,USA,3727407,9.23,35.7,775,49033,244200,30.2,80.38,1.66,10.56,0.96,3.45,0.25,2.62,0.13,525613,25434,13518,2.57,4.84,0,0,0,State
6,2006,Oregon,USA,3727407,9.23,35.7,775,49033,244200,30.2,80.38,1.66,10.56,0.96,3.45,0.25,2.62,0.13,535381,24313,12192,2.28,4.54,0,0,0,State
7,2007,Oregon,USA,3727407,9.23,35.7,775,49033,244200,30.2,80.38,1.66,10.56,0.96,3.45,0.25,2.62,0.13,545149,21622,10402,1.91,3.97,0,0,0,State
8,2008,Oregon,USA,3727407,9.23,35.7,775,49033,244200,30.2,80.38,1.66,10.56,0.96,3.45,0.25,2.62,0.13,554917,21367,9739,1.76,3.85,0,0,0,State
9,2009,Oregon,USA,3727407,9.23,35.7,775,49033,244200,30.2,80.38,1.66,10.56,0.96,3.45,0.25,2.62,0.13,564685,19599,8356,1.48,3.47,0,0,0,State
