,dateDelta,balance
0,0,150868
1,60,149754
2,66,149417
3,71,149251
4,73,149074
5,74,148574
6,75,148074
7,80,147574
8,81,146542
9,82,146435
10,85,146224
11,86,144955
12,87,144895
13,89,144567
14,95,144507
15,99,144391
16,102,144173
17,103,143779
18,104,143611
19,106,142943
20,108,142651
21,110,142516
22,113,142064
23,114,141334
24,115,141271
25,116,140522
26,117,140383
27,120,140100
28,122,140081
29,124,139645
30,127,138574
31,128,138274
32,129,138260
33,130,138097
34,131,137687
35,134,136409
36,135,136293
37,136,135838
38,137,135815
39,141,135590
40,142,135447
41,143,134177
42,145,134061
43,148,133699
44,150,132439
45,151,131768
46,152,131721
47,156,131150
48,157,130055
49,159,129586
50,162,129268
51,163,128646
52,164,127607
53,165,127327
54,169,126646
55,171,125543
56,172,125165
57,173,124599
58,177,124273
59,178,123220
60,179,122233
61,185,121637
62,186,120721
63,187,119480
64,191,119067
65,192,118070
66,193,117609
67,194,117605
68,197,117374
69,198,117158
70,199,115460
71,200,115454
72,204,114950
73,205,114736
74,206,113520
75,207,113408
76,208,113379
77,211,113265
78,212,112581
79,213,112226
80,214,110639
81,218,108937
82,219,108675
83,220,108457
84,221,108272
85,222,108250
86,226,107494
87,227,105804
88,228,105745
89,232,104890
90,233,103660
91,234,103471
92,239,102812
93,240,102571
94,241,101287
95,242,101022
96,243,99267
97,246,98638
98,247,96933
99,249,96783
100,250,96688
101,253,95894
102,254,95801
103,256,93688
104,260,92846
105,261,90859
106,262,90791
107,263,90445
108,264,90445
109,269,87568
110,270,87434
111,271,87390
112,274,87278
113,278,86938
114,283,86844
115,288,84128
116,289,84059
117,290,83427
118,291,83363
119,292,82657
120,297,82382
121,298,82024
122,299,81898
